kode,tahun,kelamin,jumlah
11,2010,1,2255
11,2010,0,2268
11,2015,1,2498
11,2015,0,2505
11,2020,1,2728
11,2020,0,2732
11,2025,1,2933
11,2025,0,2937
11,2030,1,3110
11,2030,0,3117
11,2035,1,3264
11,2035,0,3277
12,2010,1,6495
12,2010,0,6534
12,2015,1,6955
12,2015,0,6983
12,2020,1,7336
12,2020,0,7368
12,2025,1,7632
12,2025,0,7679
12,2030,1,7848
12,2030,0,7916
12,2035,1,7990
12,2035,0,8083
13,2010,1,2409
13,2010,0,2456
13,2015,1,2584
13,2015,0,2612
13,2020,1,2742
13,2020,0,2757
13,2025,1,2874
13,2025,0,2883
13,2030,1,2981
13,2030,0,2987
13,2035,1,3063
13,2035,0,3068
14,2010,1,2867
14,2010,0,2708
14,2015,1,3258
14,2015,0,3087
14,2020,1,3654
14,2020,0,3474
14,2025,1,4041
14,2025,0,3857
14,2030,1,4413
14,2030,0,4230
14,2035,1,4770
14,2035,0,4593
15,2010,1,1586
15,2010,0,1522
15,2015,1,1736
15,2015,0,1666
15,2020,1,1876
15,2020,0,1802
15,2025,1,2001
15,2025,0,1926
15,2030,1,2108
15,2030,0,2035
15,2035,1,2196
15,2035,0,2127
16,2010,1,3802
16,2010,0,3680
16,2015,1,4092
16,2015,0,3960
16,2020,1,4352
16,2020,0,4216
16,2025,1,4568
16,2025,0,4433
16,2030,1,4736
16,2030,0,4609
16,2035,1,4864
16,2035,0,4747
17,2010,1,879
17,2010,0,843
17,2015,1,956
17,2015,0,919
17,2020,1,1029
17,2020,0,991
17,2025,1,1094
17,2025,0,1057
17,2030,1,1149
17,2030,0,1115
17,2035,1,1195
17,2035,0,1165
18,2010,1,3923
18,2010,0,3711
18,2015,1,4163
18,2015,0,3955
18,2020,1,4360
18,2020,0,4161
18,2025,1,4504
18,2025,0,4320
18,2030,1,4596
18,2030,0,4430
18,2035,1,4640
18,2035,0,4496
19,2010,1,638
19,2010,0,593
19,2015,1,713
19,2015,0,660
19,2020,1,790
19,2020,0,728
19,2025,1,863
19,2025,0,794
19,2030,1,932
19,2030,0,857
19,2035,1,996
19,2035,0,915
21,2010,1,868
21,2010,0,825
21,2015,1,1008
21,2015,0,965
21,2020,1,1142
21,2020,0,1101
21,2025,1,1268
21,2025,0,1234
21,2030,1,1396
21,2030,0,1373
21,2035,1,1530
21,2035,0,1521
31,2010,1,4879
31,2010,0,4761
31,2015,1,5115
31,2015,0,5063
31,2020,1,5325
31,2020,0,5320
31,2025,1,5504
31,2025,0,5530
31,2030,1,5630
31,2030,0,5680
31,2035,1,5690
31,2035,0,5769
32,2010,1,21955
32,2010,0,21272
32,2015,1,23681
32,2015,0,23029
32,2020,1,25265
32,2020,0,24671
32,2025,1,26646
32,2025,0,26140
32,2030,1,27790
32,2030,0,27404
32,2035,1,28689
32,2035,0,28448
33,2010,1,16092
33,2010,0,16352
33,2015,1,16751
33,2015,0,17023
33,2020,1,17320
33,2020,0,17620
33,2025,1,17810
33,2025,0,18149
33,2030,1,18182
33,2030,0,18569
33,2035,1,18392
33,2035,0,18828
34,2010,1,1711
34,2010,0,1757
34,2015,1,1819
34,2015,0,1860
34,2020,1,1922
34,2020,0,1961
34,2025,1,2013
34,2025,0,2051
34,2030,1,2091
34,2030,0,2130
34,2035,1,2154
34,2035,0,2195
35,2010,1,18513
35,2010,0,19053
35,2015,1,19172
35,2015,0,19675
35,2020,1,19694
35,2020,0,20193
35,2025,1,20062
35,2025,0,20584
35,2030,1,20256
35,2030,0,20822
35,2035,1,20256
35,2035,0,20872
36,2010,1,5459
